address_id,schedule_code,collection_day_array
29334,WA,6
13511,WB,6
45496,WB,5
45497,WA,2
30933,WA,3
30960,WA,4
44773,WB,2
47109,WB,2
47110,WB,2
33035,WB,5
26610,WB,2
22567,WA,6
26737,WB,6
45679,WB,3
45013,WZ,2;3;4;5;6
26861,WA,5
42793,WA,5
24077,WB,3
30092,WB,6
4213,WZ,2;3;4;5;6
6915,WA,5
10504,WB,3
13899,WZ,2;3;4;5;6
2590,WB,3
42004,WA,3
14023,WA,2
7177,WB,3
3765,WA,2
26155,WA,3
13428,WB,3
4539,WA,3
44627,WB,3
21496,WB,3
28455,WZ,2;3;4;5;6
46075,WB,6
8796,WA,2
4676,ZZ,
4809,WB,2
13498,WA,6
43481,WB,3
14936,WA,3
18240,WA,4
34057,WB,4
38713,WA,3
10608,WB,4
38795,WA,5
38848,WB,5
14787,WA,6
23590,WB,2
27019,WB,3
10773,WB,3
21617,WA,2
46476,WA,6
42840,ZZ,
31270,WB,6
10153,WB,6
29456,WB,3
15088,WA,5
21336,WB,3
26885,WB,4
45078,WZ,2;3;4;5;6
36351,WB,6
20722,WB,3
29058,WB,3
41356,WA,5
19608,WB,3
4731,WA,6
43195,WB,3
13265,WB,3
37827,WB,3
37803,WB,3
46845,WB,6
24784,WB,3
39381,WZ,2;3;4;5;6
19409,WB,3
26118,WB,6
31174,WB,3
5930,WB,3
23466,WZ,2;3;4;5;6
8334,WZ,2;3;4;5;6
15025,WZ,2;3;4;5;6
29707,WZ,2;3;4;5;6
41181,WA,6
13469,WA,2
13496,WB,3
45684,WA,3
13671,WB,3
20771,WA,4
23211,WA,4
45814,WA,2
45816,WA,4
23259,WA,4
23273,WB,3
22461,WA,2
44743,WA,4
20329,WA,4
23892,WA,6
20506,WA,6
46842,WB,6
46843,WB,6
3047,WB,2
39026,WA,3
41745,WA,4
12388,WA,4
43533,WB,3
43608,WA,5
4598,WB,5
7887,WB,5
7678,WB,4
20207,WB,2
20261,WA,5
13616,WB,6
10312,WB,2
10393,WB,4
7029,WB,6
41105,WA,3
17803,WB,5
11192,WB,3
26946,WB,6
42031,WB,2
42152,WB,6
33275,WA,2
5454,WA,4
5717,WA,3
6395,WB,6
14820,WB,3
38998,WA,2
32960,WA,4
33076,WA,6
33203,WB,5
36629,WB,6
38673,WB,6
38838,WB,6
17815,WB,3
40336,WA,5
12651,WA,6
5790,WB,3
10892,WZ,2;3;4;5;6
28794,ZZ,
17827,WA,6
42686,WA,5
20279,WB,3
39742,WA,3
39549,WB,3
10124,WB,3
2530,WB,3
40758,WA,4
39936,WB,3
39947,WA,5
40116,WA,2
40119,WA,3
40127,WB,6
7311,WB,5
7326,WA,2
45011,WA,5
43754,WA,2
25168,WZ,2;3;4;5;6
31710,WB,5
45388,WA,2
45051,WA,5
45052,WB,5
42697,WA,3
42698,WA,3
42699,WA,4
42880,WA,3
43498,WA,3
29615,WB,4
8367,WB,3
24859,WA,5
19236,WA,4
6784,WZ,2;3;4;5;6
5893,WZ,2;3;4;5;6
30001,WA,5
18806,WA,3
26468,WA,6
25062,WA,3
24184,WB,6
24188,WB,5
28579,WA,6
9250,WB,3
22375,WA,5
15411,WB,2
30315,WB,6
16332,WB,4
28735,WB,6
46432,WB,6
41779,WB,3
21847,WB,3
37779,WB,3
40850,WA,5
14841,WA,5
14851,WZ,2;3;4;5;6
40727,WA,5
39712,WB,5
28903,WA,6
2599,WB,6
2613,WA,3
36045,WA,3
30381,WA,6
30502,WB,4
30523,WB,6
30756,WA,5
30772,WZ,2;3;4;5;6
40377,WA,2
33410,WA,6
43282,WB,2
10324,WB,3
33585,WB,2
36046,WA,4
26353,WB,3
14063,ZZ,
35228,WA,3
24725,WB,3
44819,WB,4
17758,WB,3
20513,WA,2
33566,WB,6
33659,WB,4
33671,WA,6
12313,WA,6
31377,WA,5
35507,WA,5
2633,WB,5
32729,WB,3
32770,WB,6
