schedule_code,collection_date,program_code_array
WA,01/01/2015,
WA,02/01/2015,L;O;S
WA,03/01/2015,L;O;S
WA,04/01/2015,
WA,05/01/2015,R;O
WA,06/01/2015,R;O
WA,07/01/2015,R;O
WA,08/01/2015,R;O
WA,09/01/2015,R;O
WA,10/01/2015,
WA,11/01/2015,
WA,12/01/2015,L;O;S
WA,13/01/2015,L;O;S
WA,14/01/2015,L;O;S
WA,15/01/2015,L;O;S
WA,16/01/2015,L;O;S
WA,17/01/2015,
WA,18/01/2015,
WA,19/01/2015,R;O
WA,20/01/2015,R;O
WA,21/01/2015,R;O
WA,22/01/2015,R;O
WA,23/01/2015,R;O
WA,24/01/2015,
WA,25/01/2015,
WA,26/01/2015,L;O;S
WA,27/01/2015,L;O;S
WA,28/01/2015,L;O;S
WA,29/01/2015,L;O;S
WA,30/01/2015,L;O;S
WA,31/01/2015,
WA,01/02/2015,
WA,02/02/2015,R;O
WA,03/02/2015,R;O
WA,04/02/2015,R;O
WA,05/02/2015,R;O
WA,06/02/2015,R;O
WA,07/02/2015,
WA,08/02/2015,
WA,09/02/2015,L;O;S
WA,10/02/2015,L;O;S
WA,11/02/2015,L;O;S
WA,12/02/2015,L;O;S
WA,13/02/2015,L;O;S
WA,14/02/2015,
WA,15/02/2015,
WA,16/02/2015,
WA,17/02/2015,R;O
WA,18/02/2015,R;O
WA,19/02/2015,R;O
WA,20/02/2015,R;O
WA,21/02/2015,R;O
WA,22/02/2015,
WA,23/02/2015,L;O;S
WA,24/02/2015,L;O;S
WA,25/02/2015,L;O;S
WA,26/02/2015,L;O;S
WA,27/02/2015,L;O;S
WA,28/02/2015,
WA,01/03/2015,
WA,02/03/2015,R;O
WA,03/03/2015,R;O
WA,04/03/2015,R;O
WA,05/03/2015,R;O
WA,06/03/2015,R;O
WA,07/03/2015,
WA,08/03/2015,
WA,09/03/2015,L;O;S
WA,10/03/2015,L;O;S
WA,11/03/2015,L;O;S
WA,12/03/2015,L;O;S
WA,13/03/2015,L;O;S
WA,14/03/2015,
WA,15/03/2015,
WA,16/03/2015,R;O
WA,17/03/2015,R;O
WA,18/03/2015,R;O
WA,19/03/2015,R;O
WA,20/03/2015,R;O
WA,21/03/2015,
WA,22/03/2015,
WA,23/03/2015,L;O;S
WA,24/03/2015,L;O;S
WA,25/03/2015,L;O;S
WA,26/03/2015,L;O;S
WA,27/03/2015,L;O;S
WA,28/03/2015,
WA,29/03/2015,
WA,30/03/2015,R;O
WA,31/03/2015,R;O
WA,01/04/2015,R;O
WA,02/04/2015,R;O
WA,03/04/2015,
WA,04/04/2015,R;O
WA,05/04/2015,
WA,06/04/2015,L;O;S
WA,07/04/2015,L;O;S
WA,08/04/2015,L;O;S
WA,09/04/2015,L;O;S
WA,10/04/2015,L;O;S
WA,11/04/2015,
WA,12/04/2015,
WA,13/04/2015,R;O
WA,14/04/2015,R;O
WA,15/04/2015,R;O
WA,16/04/2015,R;O
WA,17/04/2015,R;O
WA,18/04/2015,
WA,19/04/2015,
WA,20/04/2015,L;O;S
WA,21/04/2015,L;O;S
WA,22/04/2015,L;O;S
WA,23/04/2015,L;O;S
WA,24/04/2015,L;O;S
WA,25/04/2015,
WA,26/04/2015,
WA,27/04/2015,R;O
WA,28/04/2015,R;O
WA,29/04/2015,R;O
WA,30/04/2015,R;O
WA,01/05/2015,R;O
WA,02/05/2015,
WA,03/05/2015,
WA,04/05/2015,L;O;S
WA,05/05/2015,L;O;S
WA,06/05/2015,L;O;S
WA,07/05/2015,L;O;S
WA,08/05/2015,L;O;S
WA,09/05/2015,
WA,10/05/2015,
WA,11/05/2015,R;O
WA,12/05/2015,R;O
WA,13/05/2015,R;O
WA,14/05/2015,R;O
WA,15/05/2015,R;O
WA,16/05/2015,
WA,17/05/2015,
WA,18/05/2015,
WA,19/05/2015,L;O;S
WA,20/05/2015,L;O;S
WA,21/05/2015,L;O;S
WA,22/05/2015,L;O;S
WA,23/05/2015,L;O;S
WA,24/05/2015,
WA,25/05/2015,R;O
WA,26/05/2015,R;O
WA,27/05/2015,R;O
WA,28/05/2015,R;O
WA,29/05/2015,R;O
WA,30/05/2015,
WA,31/05/2015,
WA,01/06/2015,L;O;S
WA,02/06/2015,L;O;S
WA,03/06/2015,L;O;S
WA,04/06/2015,L;O;S
WA,05/06/2015,L;O;S
WA,06/06/2015,
WA,07/06/2015,
WA,08/06/2015,R;O
WA,09/06/2015,R;O
WA,10/06/2015,R;O
WA,11/06/2015,R;O
WA,12/06/2015,R;O
WA,13/06/2015,
WA,14/06/2015,
WA,15/06/2015,L;O;S
WA,16/06/2015,L;O;S
WA,17/06/2015,L;O;S
WA,18/06/2015,L;O;S
WA,19/06/2015,L;O;S
WA,20/06/2015,
WA,21/06/2015,
WA,22/06/2015,R;O
WA,23/06/2015,R;O
WA,24/06/2015,R;O
WA,25/06/2015,R;O
WA,26/06/2015,R;O
WA,27/06/2015,
WA,28/06/2015,
WA,29/06/2015,L;O;S
WA,30/06/2015,L;O;S
WA,01/07/2015,
WA,02/07/2015,L;O;S
WA,03/07/2015,L;O;S
WA,04/07/2015,L;O;S
WA,05/07/2015,
WA,06/07/2015,R;O
WA,07/07/2015,R;O
WA,08/07/2015,R;O
WA,09/07/2015,R;O
WA,10/07/2015,R;O
WA,11/07/2015,
WA,12/07/2015,
WA,13/07/2015,L;O;S
WA,14/07/2015,L;O;S
WA,15/07/2015,L;O;S
WA,16/07/2015,L;O;S
WA,17/07/2015,L;O;S
WA,18/07/2015,
WA,19/07/2015,
WA,20/07/2015,R;O
WA,21/07/2015,R;O
WA,22/07/2015,R;O
WA,23/07/2015,R;O
WA,24/07/2015,R;O
WA,25/07/2015,
WA,26/07/2015,
WA,27/07/2015,L;O;S
WA,28/07/2015,L;O;S
WA,29/07/2015,L;O;S
WA,30/07/2015,L;O;S
