address_id,street_name,street_number,postal_code,ward,latitude,longitude,,
29334,ONTARIO ST,70,N1E 3B2,1,43.54489337080,-80.23731547370,,
13511,WALKER WAY,60,,6,43.51890249080,-80.18032458440,,
45496,VICTORIA RD N,209,N1E 5H9,2,43.56700680230,-80.24442693900,,
45497,MCLACHLAN PL,12,N1H 8K3,4,43.52797333580,-80.29829667240,,
30933,WOOLWICH ST,576,N1H 3Y3,3,43.55632550870,-80.26688926200,,
30960,HANLON RD,705,N1G 2S5,5,43.51604578570,-80.24745676290,,
44773,GATEWAY DR,26,N1H 6W8,4,43.51674610870,-80.27486056600,,
47109,ELMIRA RD S,3,,4,43.52326605600,-80.29483917360,,
47110,ELMIRA RD S,19,,4,43.52218443480,-80.29394135360,,
33035,FLEMING RD,78,N1E 6X4,1,43.56885515720,-80.21653778420,,
26610,IMPERIAL RD S,298,N1K 1M4,4,43.52568066970,-80.28133058170,,
22567,GRANGE ST,213,N1E 2W2,1,43.55740970460,-80.23351438690,,
26737,HALL AVE,38,N1L 0B3,6,43.51110543240,-80.18218604950,,
45679,SCOTTSDALE DR,359,,5,43.51971954290,-80.24075558120,,
45013,CARDEN ST,48,N1H 3A2,1,43.54414100430,-80.24848143770,,
26861,WOODLAWN RD E,575,N1E 1C3,2,43.57938019740,-80.25677273180,,
42793,SPEEDVALE AVE E,368,N1E 1N5,2,43.56797856320,-80.25790900860,,
24077,SCOTTSDALE DR,461,,5,43.51922447590,-80.23954453170,,
30092,WILKIE CRES,22,N1L 0B1,6,43.50796324520,-80.18016346450,,
4213,MACDONELL ST,44,N1H 2Z3,1,43.54457245470,-80.24906077890,,
6915,WOODLAWN RD E,638,,2,43.58187152190,-80.25438043980,,
10504,HONEYSUCKLE DR,32,NIG 4X7,5,43.53209935470,-80.21181432110,,
13899,CARDEN ST,58,N1H 3A2,1,43.54429146690,-80.24817692750,,
2590,MAGNOLIA LANE,9,NIG 4X7,5,43.53108692790,-80.21013231330,,
42004,YARMOUTH ST,76,N1H 4G3,1,43.54764578590,-80.25290631740,,
14023,SILVERCREEK PKY N,252,N1H 1E7,4,43.54523574120,-80.28888511450,,
7177,MAGNOLIA LANE,23,NIG 4X7,5,43.53066842050,-80.20954033840,,
3765,ELMIRA RD N,105,,4,43.52730058840,-80.29803288780,,
26155,FOSTER AVE,19,N1H 3B2,3,43.53946703710,-80.25650232700,,
13428,BORDEN ST,29,N1G 1Z5,5,43.53152365340,-80.23544512090,,
4539,DIVISION ST,93,N1H 1R5,3,43.55117347290,-80.26850672600,,
44627,PARKSIDE DR,27,NIG 4X7,5,43.53027591950,-80.20940270400,,
21496,SCOTTSDALE DR,250,N1G 2K8,5,43.52238092720,-80.24117187230,,
28455,WYNDHAM ST N,25,N1H 4E4,1,43.54529980490,-80.24811456590,,
46075,ROEHAMPTON CRES,30,N1L 1M7,6,43.50423239110,-80.19172927980,,
8796,SILVERCREEK PKY N,163,N1H 3T2,3,43.54173558120,-80.28058807790,,
4676,WELLINGTON ST W,530,N1H 6J4,4,43.52390586170,-80.26435041330,,
4809,PAISLEY RD,975,N1K 1X6,4,43.52479897520,-80.28637517520,,
13498,ST CATHERINE ST,25,N1E 4L6,1,43.55565510160,-80.24872375210,,
43481,SCOTTSDALE DR,48,N1G 2K8,5,43.52317246320,-80.24244217880,,
14936,WATERLOO AVE,94,N1H 3H8,5,43.53839869850,-80.25246941500,,
18240,COLLEGE AVE W,456,N1G 1T4,5,43.51725018810,-80.25216384920,,
34057,CLAIR RD W,11,N1L 0A6,6,43.49986563090,-80.19033715180,,
38713,VERNEY ST,48,N1H 1N4,3,43.55473310770,-80.26654071050,,
10608,MCCURDY RD,44,N1G 4Z9,6,43.51108425300,-80.21231548840,,
